"","park_area_id","facility__Name","facility__Location","facility__Zip","ADDRESS_Ext","lon","lat","district"
"149","R065","Richmond Parkway","Staten Island Exwy. To West Shore Exwy.","10301, 10304, 10306, 10309, 10312, 10314","Richmond Parkway,New York, NY,10301, 10304, 10306, 10309, 10312, 10314",-74.1159211,40.5938984,"Staten Island"
"150","Q089B","Harvey Park","144 St., Whitestone Exwy. bet. 15 Ave. and 20 Ave.","11357","Harvey Park,New York, NY,11357",-73.8232856,40.7836138,"Queens"
"151","B141","City Line Park","Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.","11208","City Line Park,New York, NY,11208",-73.8742921,40.6790718,"Brooklyn"
"152","B169","Coney Island Beach & Boardwalk","Corbin Pl. to W. 37 St., Boardwalk","11224, 11235","Coney Island Beach & Boardwalk,New York, NY,11224, 11235",-73.9793298,40.5721302,"Brooklyn"
"153","X031","McKinley Square","E. 169 St., Boston Rd., Clinton Ave.","10456","McKinley Square,New York, NY,10456",-73.9006631,40.8311056,"Bronx"
"154","X147B","Daniel Boone Playground","Boone Av bet. W Farms Rd and Freeman St","10459","Daniel Boone Playground,New York, NY,10459",-73.8860372,40.8298554,"Bronx"
"155","X222","Gouverneur Playground","3 Av bet. E 170 St and St Paul's Pl","10456","Gouverneur Playground,New York, NY,10456",-73.9033731,40.8356154,"Bronx"
"156","Q173","American Triangle","41 Av, 102 St, National Av","11368","American Triangle,New York, NY,11368",-73.8633622,40.748427,"Queens"
"157","Q060","Nine Heroes Plaza","Broadway, 41 Ave., 76 St.","11373","Nine Heroes Plaza,New York, NY,11373",-73.8890726,40.7455289,"Queens"
"158","X030","Macombs Dam Park","River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.","10451, 10452","Macombs Dam Park,New York, NY,10451, 10452",-73.9276205,40.8282238,"Bronx"
"159","X348","River Avenue Parks","E 157 St bet. River Av and Gerard Av","10451","River Avenue Parks,New York, NY,10451",-73.9270008,40.8253632,"Bronx"
"160","Q336","Judge Moses Weinstein Playground","Union Turnpike, Vleigh Pl., 141 St.","11367","Judge Moses Weinstein Playground,New York, NY,11367",-73.8204022,40.7181533,"Queens"
"161","Q012","Crocheron Park","214 Pl., 214 La., 215 Pl, Cross Island Pkwy. bet. 33 Ave. and 35 Ave.","11361","Crocheron Park,New York, NY,11361",-73.767643,40.7718307,"Queens"
"162","Q066F","Hoyt Playground","Hoyt Ave. North bet. 29 St. and 31 St.","11102","Hoyt Playground,New York, NY,11102",-73.9171582,40.7715354,"Queens"
"163","R046","Franklin D. Roosevelt Boardwalk and Beach","Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.","10305, 10306","Franklin D. Roosevelt Boardwalk and Beach,New York, NY,10305, 10306",-74.0928499,40.5680911,"Staten Island"
"164","M052","Madison Square Park","Broadway, Madison Ave. bet. E. 23 St. and E. 26 St.","10010","Madison Square Park,New York, NY,10010",-73.9877701,40.7425999,"Manhattan"
"165","R170","Stapleton Esplanade","Front St. bet. Wave St. and Canal St.","10304","Stapleton Esplanade,New York, NY,10304",-74.0784785,40.6288778,"Staten Island"
"166","R024","Tompkinsville Park","Bay St., Victory Blvd.","10301","Tompkinsville Park,New York, NY,10301",-74.0764593,40.6374135,"Staten Island"
"167","R028","Tappen Park","Canal St., Water St., Bay St.","10304","Tappen Park,New York, NY,10304",-74.0767282,40.6267868,"Staten Island"
"168","M164","Asser Levy Playground","E. 23 St. To E. 25 St., FDR Drive","10010","Asser Levy Playground,New York, NY,10010",-73.9753834,40.7366407,"Manhattan"
"169","X008","Claremont Park","Clay Ave., Anthony Ave. bet. Mount Eden Pkwy. and E. 170 St","10457","Claremont Park,New York, NY,10457",-73.9075506,40.8409,"Bronx"
"170","X118","Soundview Park","Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr.","10473","Soundview Park,New York, NY,10473",-73.8727799,40.8171401,"Bronx"
"171","B007","Bensonhurst Park","Cropsey Ave. bet. 21 Ave. and Bay Pkwy.","11214","Bensonhurst Park,New York, NY,11214",-74.000755,40.59726,"Brooklyn"
"172","B056","Martin Luther King Jr. Playground","Dumont Ave., Blake Ave. bet. Bradford St. and Miller Ave.","11207","Martin Luther King Jr. Playground,New York, NY,11207",-73.8904105,40.6676449,"Brooklyn"
"173","B145","Thomas Greene Playground","Nevins St., 3 Ave., bet. De Graw St. and Douglas St.","11217","Thomas Greene Playground,New York, NY,11217",-73.9852314,40.6802801,"Brooklyn"
"174","R145","Seaside Wildlife Nature Park","Nelson Ave., Tennyson Dr. and Bulkhead Line","10308","Seaside Wildlife Nature Park,New York, NY,10308",-74.1430327,40.5401773,"Staten Island"
"175","X047","Franz Sigel Park","NYCRR, Walton Ave, E 158 St, Grand Concourse","10451","Franz Sigel Park,New York, NY,10451",-73.9256677,40.8230286,"Bronx"
"176","R015","Walker Park","Delafield Pl., Bard Ave., and Davis Ave.","10310","Walker Park,New York, NY,10310",-74.1094586,40.6432149,"Staten Island"
"177","B087","Sunset Park","41 St., 44 St., bet. 5 Ave. and 7 Ave.","11232","Sunset Park,New York, NY,11232",-74.0079781,40.6560436,"Brooklyn"
"178","R038","Midland Playground","Lincoln Ave., Mason Ave., Midland Ave., Poultney St.","10306","Midland Playground,New York, NY,10306",-74.0988633,40.5751161,"Staten Island"
"179","Q021C","Seven Gables Playground","210 St., Oceania St. bet. the Long Island Exwy. and 64 Ave.","11364","Seven Gables Playground,New York, NY,11364",-73.7663131,40.7440186,"Queens"
"180","B073","Prospect Park","Prospect Pk W, Flatbush, Parkside, Ocean Aves","11215","Prospect Park,New York, NY,11215",-73.9689558,40.6602037,"Brooklyn"
"181","X041","Pulaski Park","Bruckner Blvd. bet. Willis Ave. and Brown Pl.","10454","Pulaski Park,New York, NY,10454",-73.9244088,40.8052393,"Bronx"
"182","M071","Riverside Park","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","10023, 10024, 10025","Riverside Park,New York, NY,10023, 10024, 10025",-73.967289,40.8096051,"Manhattan"
"183","Q134","Breininger Park","240 St. bet. Braddock Ave. and Fairbury Ave.","11426","Breininger Park,New York, NY,11426",-73.7290298,40.7258447,"Queens"
"184","Q048","Rainey Park","Vernon Blvd. bet. 33 Rd. and 34 Ave.","11106","Rainey Park,New York, NY,11106",-73.9407026,40.7661129,"Queens"
"185","M005","The Battery","Battery Pl, State St and Whitehall St","10004, 10280","The Battery,New York, NY,10004, 10280",-74.0159996,40.703141,"Manhattan"
"186","M015","Columbus Park","Baxter St, Mulberry St, Bayard St and Park","10013","Columbus Park,New York, NY,10013",-74.0000483,40.7155353,"Manhattan"
"187","B066","Owl's Head Park","Shore Rd., 68 St., Colonial Rd.","11220","Owl's Head Park,New York, NY,11220",-74.0322522,40.6401377,"Brooklyn"
"188","B052","Leif Ericson Park","67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy.","11219, 11220","Leif Ericson Park,New York, NY,11219, 11220",-74.0229794,40.6372953,"Brooklyn"
"189","M399","Bella Abzug Park","Hudson Blvd. bet. W. 36 St. and W. 33 St.","10001, 10018","Bella Abzug Park,New York, NY,10001, 10018",-74.0006194,40.7555569,"Manhattan"
"190","R029","Westerleigh Park","Willard Ave., Springfield Ave., Maine Ave., Neal Dow Ave.","10314","Westerleigh Park,New York, NY,10314",-74.1344668,40.6197065,"Staten Island"
"191","B251","Manhattan Beach Park","Oriental Blvd. between Ocean Ave. and Mackenzie St.","11235","Manhattan Beach Park,New York, NY,11235",-73.942583,40.5768049,"Brooklyn"
"192","B192","Russell Pedersen Playground","Colonial Rd. from 83 St. to 85 St.","11209","Russell Pedersen Playground,New York, NY,11209",-74.0361155,40.6263553,"Brooklyn"
"193","B252","West Playground","Ave. Z between W. 1 St. and West St.","11223","West Playground,New York, NY,11223",-73.9700866,40.5873442,"Brooklyn"
"194","Q465","Socrates Sculpture Park","Vernon Blvd. bet. Broadway and 30 Dr.","11106","Socrates Sculpture Park,New York, NY,11106",-73.9366574,40.7685098,"Queens"
"195","M081","Carl Schurz Park","East End Av To East River, E 84 St To E 90 St","10028","Carl Schurz Park,New York, NY,10028",-73.9436973,40.7751302,"Manhattan"
"196","B125","Calvert Vaux Park","Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.","11214","Calvert Vaux Park,New York, NY,11214",-73.9952563,40.5843671,"Brooklyn"
"197","B080","Asser Levy Park","Boardwalk, Surf Ave., Sea Breeze Ave., Ocean Parkway","11224","Asser Levy Park,New York, NY,11224",-73.9713897,40.5751863,"Brooklyn"
"198","M376","West Harlem Piers","Henry Hudson Pkwy. bet. St Clair Pl. and W. 135 St.","10024, 10027","West Harlem Piers,New York, NY,10024, 10027",-73.9610999,40.8194924,"Manhattan"
"199","R106","Bloomingdale Park","Richmond Pkwy., West Shore Expw., Lenevar Ave., Ramona Ave.","10309","Bloomingdale Park,New York, NY,10309",-74.2105955,40.5334003,"Staten Island"
"200","X010","Crotona Park","Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","10456, 10457, 10460","Crotona Park,New York, NY,10456, 10457, 10460",-73.8953489,40.8400367,"Bronx"
"201","Q105","Howard Von Dohlen Playground","91 Ave., Archer Ave. bet. 138 Pl. and 138 St.","11435","Howard Von Dohlen Playground,New York, NY,11435",-73.8130718,40.6996426,"Queens"
"202","M088","Tompkins Square Park","Ave. A To Ave. B, E. 7 St. To E. 10 St.","10009","Tompkins Square Park,New York, NY,10009",-73.9817841,40.7264295,"Manhattan"
"203","B054","Lincoln Terrace / Arthur S. Somers Park","Eastern Pkwy., E. New York Ave. bet. Rochester Ave. and Portal St.","11213, 11233","Lincoln Terrace / Arthur S. Somers Park,New York, NY,11213, 11233",-73.9272053,40.6668637,"Brooklyn"
"204","BT15","Bush Terminal Park","Marginal St. bet. 44 St. and 50 St.","11232","Bush Terminal Park,New York, NY,11232",-74.0201023,40.6534111,"Brooklyn"
"205","B082","Shore Park and Parkway","4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge","11209, 11220","Shore Park and Parkway,New York, NY,11209, 11220",-74.0387838,40.6150368,"Brooklyn"
"206","Q053","Equity Playground","88 Ave. to 89 Ave. at 90 St.","11421","Equity Playground,New York, NY,11421",-73.8533438,40.6912903,"Queens"
"207","Q129","Phil ""Scooter"" Rizzuto Park","Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.","11419","Phil ""Scooter"" Rizzuto Park,New York, NY,11419",-73.8216889,40.6947111,"Queens"
"208","M082","Seward Park","Canal St, Essex St, Jefferson St and E Broadway","10002","Seward Park,New York, NY,10002",-73.989247,40.7149056,"Manhattan"
