ZIPCODE,borough,Neighbourhood,cases,perc_pos,LAT_repre,LNG_repre
11426,Queens,Bellerose,501,22.7,40.736425,-73.722376
11427,Queens,Bellerose/Hollis Hills/Holliswood,800,23.87,40.730904,-73.745661
11428,Queens,Queens Village,686,27.13,40.721016,-73.742245
11429,Queens,Queens Village,977,25.06,40.709766,-73.738653
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,1877,23.52,40.715359,-73.793071
11433,Queens,Jamaica,975,23.57,40.698162,-73.786893
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,2146,24.88,40.676808,-73.776425
11435,Queens,Briarwood/Jamaica,1671,22.89,40.701265,-73.809605
11436,Queens,South Jamaica/South Ozone Park,539,23.77,40.675807,-73.796622
11691,Queens,Edgemere/Far Rockaway,2485,21.97,40.601278,-73.761651
11692,Queens,Arverne/Edgemere,645,19.82,40.594095,-73.792896
11693,Queens,Arverne/Broad Channel,338,22.03,40.590692,-73.809749
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,744,22.46,40.57827,-73.844762
11697,Queens,Breezy Point,109,8.93,40.555688,-73.920663
