encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
2020-03-27 14:10:43,R045,R-02,Staten Island,5,False,Did not approach the crowd; the crowd remains,
2020-03-27 14:10:44,Q379,Q-08,Queens,5,True,Approached the crowd; they ignored the employee,
2020-03-27 14:12:54,B007,B-11,Brooklyn,15,True,Approached the crowd; they ignored the employee,
2020-03-27 14:13:17,B063,B-11,Brooklyn,20,False,Approached the crowd; they ignored the employee,
2020-03-27 14:13:36,B099,B-11,Brooklyn,12,True,Approached the crowd; they ignored the employee,
2020-03-27 14:13:56,B100,B-11,Brooklyn,50,True,Approached the crowd; they ignored the employee,
2020-03-27 14:14:15,B158,B-11,Brooklyn,12,True,Approached the crowd; they ignored the employee,
2020-03-27 14:14:37,B164,B-11,Brooklyn,30,True,Approached the crowd; they ignored the employee,
2020-03-27 14:15:25,B277,B-11,Brooklyn,12,True,Approached the crowd; they ignored the employee,
2020-03-27 14:15:47,B349,B-11,Brooklyn,10,True,Approached the crowd; they complied with instructions,
2020-03-27 14:16:10,B051,B-15,Brooklyn,15,True,Approached the crowd; they ignored the employee,
2020-03-27 14:16:42,B109,B-15,Brooklyn,20,True,Approached the crowd; they ignored the employee,
2020-03-27 14:17:06,B109,B-15,Brooklyn,20,False,Approached the crowd; they ignored the employee,
2020-03-27 14:18:15,B157,B-15,Brooklyn,12,True,Did not approach the crowd; the crowd remains,
2020-03-27 14:18:40,B197,B-15,Brooklyn,20,True,Approached the crowd; they ignored the employee,
2020-03-27 14:19:07,B208,B-15,Brooklyn,10,True,Approached the crowd; they ignored the employee,
2020-03-27 14:19:52,X001A-01,X-05,Bronx,20,True,Approached the crowd; they ignored the employee,
2020-03-27 14:19:52,B209,B-15,Brooklyn,15,True,Approached the crowd; they ignored the employee,
2020-03-27 14:20:12,X196-02,X-12,Bronx,6,False,Approached the crowd; they complied with instructions,
2020-03-27 14:20:22,B235,B-15,Brooklyn,10,True,Approached the crowd; they ignored the employee,
2020-03-27 14:20:56,B239,B-15,Brooklyn,13,True,Did not approach the crowd; the crowd remains,
2020-03-27 14:34:47,X193,X-12,Bronx,3,False,Approached the crowd; they complied with instructions,
2020-03-27 14:40:15,X010A-01,X-06,Bronx,50,True,Approached the crowd; they ignored the employee,
2020-03-27 14:42:54,Q051,Q-12,Queens,4,False,Approached the crowd; they ignored the employee,
2020-03-27 14:43:20,B236,B-18,Brooklyn,12,False,Approached the crowd; they ignored the employee,
2020-03-27 14:43:55,B234,B-17,Brooklyn,5,False,Approached the crowd; they ignored the employee,
2020-03-27 14:49:23,R059,R-01,Staten Island,20,True,Did not approach the crowd; the crowd remains,
2020-03-27 14:50:07,Q051-01,Q-12,Queens,10,True,Approached the crowd; they ignored the employee,
2020-03-27 14:53:08,B028-ZN01,B-10,Brooklyn,13,False,Approached the crowd; they ignored the employee,
2020-03-27 14:58:13,Q007,Q-14,Queens,12,False,Approached the crowd; they complied with instructions,
2020-03-27 15:01:51,Q099-55,Q-15,Queens,4,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:07:44,Q099-01,Q-06,Queens,50,True,Approached the crowd; they ignored the employee,
2020-03-27 15:14:20,Q303,Q-03,Queens,30,False,Did not approach the crowd; the crowd remains,
2020-03-27 15:15:45,R042,R-01,Staten Island,25,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:22:40,X255,X-02,Bronx,35,True,Approached the crowd; they ignored the employee,
2020-03-27 15:23:02,Q066B,Q-01,Queens,10,True,Approached the crowd; they ignored the employee,
2020-03-27 15:23:17,X179,X-02,Bronx,30,True,Approached the crowd; they complied with instructions,
2020-03-27 15:27:06,X039-ZN11,X-15A,Bronx,45,False,Approached the crowd; they ignored the employee,
2020-03-27 15:30:34,R106-ZN01,R-03,Staten Island,25,True,Approached the crowd; they complied with instructions,
2020-03-27 15:34:36,Q099-ZN17,Q-15,Queens,17,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:39:01,Q099-ZN15,Q-15,Queens,38,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:39:52,Q099-ZN09,Q-15,Queens,10,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:42:13,Q099-ZN06,Q-15,Queens,25,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:47:37,Q099-ZN18,Q-15,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-27 15:56:07,M056-01,M-09,Manhattan,10,False,Did not approach the crowd; the crowd remains,
2020-03-27 16:01:46,X045-01,X-01,Bronx,31,True,Approached the crowd; they ignored the employee,
2020-03-27 16:02:08,X045-03,X-01,Bronx,21,True,Approached the crowd; they ignored the employee,
2020-03-27 16:02:28,X146,X-01,Bronx,16,False,Approached the crowd; they ignored the employee,
2020-03-27 16:04:35,X113,X-02,Bronx,20,True,Did not approach the crowd; the crowd remains,
2020-03-27 16:13:09,Q126,Q-07,Queens,25,False,Did not approach the crowd; the crowd remains,
